experiment,Line-Treatment,DT inflection,StDev_inf,DT interval,StDev_int,Lab strain,Strain,Treatment,Strain*Treatment,Time_0,Time_0.5,Time_1,Time_1.5,Time_2,Time_2.5,Time_3,Time_3.5,Time_4,Time_4.5,Time_5,Time_5.5,Time_6,Time_6.5,Time_7,Time_7.5,Time_8,Time_8.5,Time_9,Time_9.5,Time_10,Time_10.5,Time_11,Time_11.5,Time_12,Time_12.5,Time_13,Time_13.5,Time_14,Time_14.5,Time_15,Time_15.5,Time_16,Time_16.5,Time_17,Time_17.5,Time_18,Time_18.5,Time_19,Time_19.5,Time_20
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,WT-1000 ug/ml Caffeine,89.01130852,2.540071162,105.3794209,1.445360208,BY4743,BY4743,1 mg/mL Caffeine,BY4743*1 mg/mL Caffeine,0,0.022333333,0.038333333,0.034333333,0.025333333,0.041,0.05,0.04,0.070666667,0.086333333,0.110333333,0.134666667,0.169,0.201333333,0.242,0.304333333,0.371,0.446666667,0.532666667,0.620333333,0.714666667,0.807666667,0.891333333,0.967666667,1.017333333,1.032,1.040333333,1.051333333,1.062,1.073333333,1.086,1.099666667,1.110333333,1.131,1.147,1.167,1.187333333,1.206333333,1.226333333,1.249666667,1.265666667
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,WT-vehicle,70.34488117,2.738425929,74.48268927,0.74704309,BY4743,BY4743,6.67% H2O,BY4743*6.67% H2O,0,0.030333333,0.032666667,0.037333333,0.046,0.060666667,0.079,0.107333333,0.141,0.188666667,0.250666667,0.33,0.421666667,0.546,0.668333333,0.800333333,0.923666667,1.019666667,1.063333333,1.061666667,1.064333333,1.074333333,1.080333333,1.089333333,1.097333333,1.106,1.115,1.126,1.136666667,1.147333333,1.156666667,1.169,1.180666667,1.191,1.200333333,1.213666667,1.226333333,1.235333333,1.239666667,1.260666667,1.270333333
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,NCYC 3264-1000 ug/ml Caffeine,87.59861325,1.049916424,111.4136932,1.084423084,NCYC 3264,DBVPG 6765,1 mg/mL Caffeine,DBVPG 6765*1 mg/mL Caffeine,0,0.027333333,0.047333333,0.043333333,0.023666667,0.061666667,0.076333333,0.074333333,0.112,0.134333333,0.170333333,0.207,0.253,0.304666667,0.361333333,0.444,0.532333333,0.632666667,0.751,0.851666667,0.958666667,1.058,1.121666667,1.139333333,1.157,1.176333333,1.201,1.231,1.258333333,1.286666667,1.315666667,1.344666667,1.371,1.400333333,1.420666667,1.444333333,1.468,1.484666667,1.503333333,1.522666667,1.536333333
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,NCYC 3264-vehicle,59.29671338,0.760463966,61.96134735,1.217144395,NCYC 3264,DBVPG 6765,6.67% H2O,DBVPG 6765*6.67% H2O,0,0.036666667,0.045666667,0.057333333,0.076,0.105666667,0.145333333,0.204,0.286666667,0.398,0.529666667,0.685,0.839333333,0.987,1.101333333,1.150666667,1.172333333,1.191666667,1.223333333,1.249,1.273666667,1.303,1.331,1.364,1.391,1.417666667,1.440666667,1.462,1.483,1.503,1.521666667,1.539666667,1.556666667,1.574333333,1.59,1.602333333,1.616666667,1.627666667,1.637666667,1.648666667,1.659
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,NCYC 3265-1000 ug/ml Caffeine,73.37856258,13.47716311,86.87158064,2.971548014,NCYC 3265,SK1,1 mg/mL Caffeine,SK1*1 mg/mL Caffeine,0,0.027666667,0.052333333,0.05,0.037,0.078333333,0.097,0.109666667,0.163666667,0.205666667,0.262333333,0.332,0.424333333,0.526333333,0.640666667,0.782333333,0.908333333,1.046333333,1.168333333,1.241666667,1.297333333,1.322,1.336333333,1.364,1.392333333,1.409333333,1.435,1.462333333,1.481,1.508,1.522333333,1.544666667,1.559666667,1.580333333,1.587666667,1.609333333,1.627,1.638,1.649666667,1.661,1.673333333
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,NCYC 3265-vehicle,75.6376901,1.144345911,80.33390038,0.511737033,NCYC 3265,SK1,6.67% H2O,SK1*6.67% H2O,0,0.030666667,0.035666667,0.045333333,0.06,0.082,0.109333333,0.145333333,0.188333333,0.245333333,0.316666667,0.411666667,0.512,0.625,0.769333333,0.916,1.049666667,1.116666667,1.152333333,1.179666667,1.198333333,1.237333333,1.262666667,1.296666667,1.325333333,1.349333333,1.377,1.402,1.421,1.444666667,1.464666667,1.487666667,1.508333333,1.533333333,1.546666667,1.567,1.587333333,1.601666667,1.619333333,1.633333333,1.642333333
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,NCYC 3266-1000 ug/ml Caffeine,74.66658073,3.792053895,82.25120279,0.719362757,NCYC 3266,Y55,1 mg/mL Caffeine,Y55*1 mg/mL Caffeine,0,0.029,0.054666667,0.048,0.033666667,0.072666667,0.077333333,0.101,0.146333333,0.188666667,0.249333333,0.314,0.403333333,0.501666667,0.610666667,0.741,0.876333333,1.000666667,1.123,1.180333333,1.204333333,1.225333333,1.251666667,1.282333333,1.31,1.343,1.372333333,1.404666667,1.433333333,1.459333333,1.486,1.508333333,1.527,1.549333333,1.568333333,1.590333333,1.607333333,1.623666667,1.637333333,1.655666667,1.667666667
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,NCYC 3266-vehicle,58.40191306,1.864873151,61.41783902,0.693518273,NCYC 3266,Y55,6.67% H2O,Y55*6.67% H2O,0,0.044,0.052333333,0.065,0.087333333,0.119333333,0.166666667,0.238,0.328666667,0.454333333,0.592,0.750666667,0.921666667,1.084,1.174,1.198333333,1.217333333,1.234333333,1.261333333,1.291666667,1.32,1.353333333,1.385,1.418,1.444,1.471333333,1.493666667,1.517333333,1.539333333,1.558333333,1.579,1.595666667,1.614333333,1.632333333,1.646,1.66,1.675666667,1.685333333,1.699333333,1.709,1.723333333
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,NCYC 3284-1000 ug/ml Caffeine,70.36543489,4.651225639,74.30584894,4.695960969,NCYC 3284,YPS128,1 mg/mL Caffeine,YPS128*1 mg/mL Caffeine,0,0.018333333,0.038666667,0.028666667,0.009,0.041666667,0.044333333,0.059666667,0.098666667,0.132,0.180666667,0.235666667,0.311,0.395,0.478666667,0.578666667,0.671,0.759,0.836,0.873666667,0.895333333,0.919333333,0.944,0.971666667,1.002,1.040666667,1.079,1.122333333,1.17,1.224333333,1.279333333,1.333666667,1.387333333,1.442,1.482,1.512333333,1.529333333,1.546,1.562,1.579,1.597
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,NCYC 3284-vehicle,57.20393806,3.689193813,60.92943717,1.091549431,NCYC 3284,YPS128,6.67% H2O,YPS128*6.67% H2O,0,0.047666667,0.052,0.058333333,0.074333333,0.105333333,0.151666667,0.211666667,0.300666667,0.430666667,0.578666667,0.742666667,0.907333333,1.059333333,1.186333333,1.296666667,1.327666667,1.356666667,1.389666667,1.419333333,1.446,1.479666667,1.505,1.527333333,1.549666667,1.566666667,1.589333333,1.605333333,1.622,1.635333333,1.649666667,1.661333333,1.672666667,1.685,1.693333333,1.706333333,1.716333333,1.724,1.734,1.745,1.756
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,NCYC 3290-1000 ug/ml Caffeine,77.16682049,2.266644711,92.78399795,1.049634172,NCYC 3290,DBVPG 6044,1 mg/mL Caffeine,DBVPG 6044*1 mg/mL Caffeine,0,0.016333333,0.037333333,0.032333333,0.015333333,0.050333333,0.054333333,0.072,0.113333333,0.148666667,0.194666667,0.244666667,0.313333333,0.383333333,0.463,0.571333333,0.684,0.798666667,0.916666667,1.029333333,1.141666667,1.238333333,1.272,1.3,1.321666667,1.348,1.371333333,1.395666667,1.420333333,1.448,1.477666667,1.505,1.526333333,1.552666667,1.576333333,1.597666667,1.618,1.636666667,1.650333333,1.672,1.686666667
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,NCYC 3290-vehicle,69.79359382,0.243940939,71.69333258,1.8154188,NCYC 3290,DBVPG 6044,6.67% H2O,DBVPG 6044*6.67% H2O,0,0.028333333,0.032666667,0.043666667,0.060333333,0.085333333,0.116,0.162666667,0.218,0.293666667,0.386,0.501333333,0.635,0.769,0.910666667,1.058,1.195,1.243333333,1.275666667,1.289333333,1.314333333,1.342666667,1.369666667,1.397333333,1.423333333,1.450666667,1.477,1.503,1.526666667,1.55,1.572,1.591333333,1.612333333,1.629,1.646666667,1.665666667,1.678666667,1.691,1.702666667,1.718,1.732666667
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,NCYC 3311-1000 ug/ml Caffeine,72.58129122,12.38309144,84.09607901,5.419730495,NCYC 3311,DBVPG 1788,1 mg/mL Caffeine,DBVPG 1788*1 mg/mL Caffeine,0,0.038,0.063,0.058333333,0.047333333,0.091333333,0.102333333,0.130666667,0.186333333,0.239333333,0.305666667,0.377333333,0.472,0.571666667,0.680666667,0.809333333,0.936333333,1.045333333,1.145666667,1.200333333,1.218,1.236666667,1.259333333,1.284333333,1.311,1.338,1.366333333,1.392666667,1.415333333,1.437,1.462666667,1.488666667,1.512333333,1.535333333,1.545666667,1.578,1.596333333,1.614333333,1.631666667,1.649,1.662333333
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,NCYC 3311-vehicle,57.53495814,2.755798502,64.41328953,1.252880037,NCYC 3311,DBVPG 1788,6.67% H2O,DBVPG 1788*6.67% H2O,0,0.048666667,0.057666667,0.07,0.093333333,0.129333333,0.175,0.251333333,0.336666667,0.452,0.581333333,0.732,0.895666667,1.048,1.158333333,1.205666667,1.226,1.250666667,1.281333333,1.311333333,1.336333333,1.375,1.406,1.433333333,1.459333333,1.484,1.507333333,1.532666667,1.556,1.577,1.596333333,1.612,1.629333333,1.645333333,1.658666667,1.676,1.689,1.700333333,1.708666667,1.722333333,1.733666667
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,NCYC 3312-1000 ug/ml Caffeine,87.77707048,0.777316621,109.4253552,4.334917266,NCYC 3312,DBVPG 1373,1 mg/mL Caffeine,DBVPG 1373*1 mg/mL Caffeine,0,0.040666667,0.064333333,0.056333333,0.041,0.078333333,0.081,0.099333333,0.138,0.164666667,0.208666667,0.247666667,0.305666667,0.366333333,0.432666667,0.519666667,0.614,0.709,0.814333333,0.909,1.004,1.082666667,1.142333333,1.175333333,1.199,1.227333333,1.257333333,1.288666667,1.320666667,1.350666667,1.382,1.410333333,1.433333333,1.461666667,1.483666667,1.509666667,1.530333333,1.549333333,1.567,1.588,1.604666667
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,NCYC 3312-vehicle,70.35328528,1.770519981,73.01005968,1.546940864,NCYC 3312,DBVPG 1373,6.67% H2O,DBVPG 1373*6.67% H2O,0,0.029333333,0.036,0.04,0.051333333,0.067666667,0.089666667,0.113,0.15,0.199666667,0.265666667,0.35,0.446,0.531,0.619,0.709666667,0.802333333,0.895666667,0.991333333,1.058333333,1.108,1.160333333,1.197,1.232666667,1.268,1.304333333,1.337333333,1.369666667,1.400333333,1.429,1.457,1.478333333,1.503666667,1.526,1.542,1.562333333,1.579333333,1.592,1.606666667,1.624666667,1.635666667
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,NCYC 3313-1000 ug/ml Caffeine,76.94988418,6.517442217,87.39203436,3.024669939,NCYC 3313,DBVPG 1853,1 mg/mL Caffeine,DBVPG 1853*1 mg/mL Caffeine,0,0.037333333,0.061333333,0.054666667,0.038,0.075666667,0.082333333,0.103333333,0.150666667,0.189333333,0.248333333,0.307666667,0.390666667,0.481,0.577666667,0.694333333,0.810333333,0.946,1.039333333,1.133666667,1.22,1.232666667,1.241,1.258,1.277,1.300333333,1.320666667,1.346666667,1.369333333,1.390333333,1.413,1.435666667,1.455333333,1.478,1.499,1.521,1.538333333,1.553,1.568333333,1.588,1.601
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,NCYC 3313-vehicle,63.96377432,2.407143978,66.41704522,0.609583178,NCYC 3313,DBVPG 1853,6.67% H2O,DBVPG 1853*6.67% H2O,0,0.040333333,0.049333333,0.056,0.072,0.095,0.129,0.175333333,0.242666667,0.328333333,0.438333333,0.562333333,0.696,0.835,0.980333333,1.128666667,1.231,1.240333333,1.257333333,1.269666667,1.287666667,1.319666667,1.336,1.363,1.384333333,1.407666667,1.429666667,1.451666667,1.476666667,1.498,1.519,1.537,1.553333333,1.568333333,1.582666667,1.601,1.616666667,1.628666667,1.639333333,1.655,1.667333333
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,NCYC 3314-1000 ug/ml Caffeine,80.7789783,2.101364465,84.60851871,1.045365791,NCYC 3314,BC187,1 mg/mL Caffeine,BC187*1 mg/mL Caffeine,0,0.035333333,0.061,0.056,0.042666667,0.081,0.09,0.115333333,0.161666667,0.209,0.268,0.338333333,0.429333333,0.525666667,0.632333333,0.776333333,0.894666667,1.006333333,1.115,1.187,1.207666667,1.223666667,1.243666667,1.269,1.293666667,1.320333333,1.346333333,1.375666667,1.404666667,1.432,1.459666667,1.487666667,1.509666667,1.534333333,1.555333333,1.575666667,1.595333333,1.611333333,1.627666667,1.648333333,1.665
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,NCYC 3314-vehicle,50.82285317,0.836075996,58.63069993,0.419815621,NCYC 3314,BC187,6.67% H2O,BC187*6.67% H2O,0,0.047,0.06,0.07,0.094,0.126333333,0.166333333,0.250333333,0.342333333,0.472666667,0.615666667,0.789,0.952,1.08,1.172333333,1.206,1.22,1.244,1.273,1.301,1.325666667,1.357,1.385,1.412666667,1.438,1.466666667,1.489333333,1.512,1.532,1.551,1.572333333,1.588666667,1.610333333,1.623666667,1.637333333,1.654,1.665333333,1.679333333,1.689333333,1.702,1.717
SGRP_mTORinhibitsSCREEN_SET1_CAFF_MGK_11012017_F.xls,NCYC 3315-1000 ug/ml Caffeine,70.37827295,2.207824456,72.42890623,2.862308469,NCYC 3315,YPS606,1 mg/mL Caffeine,YPS606*1 mg/mL Caffeine,0,0.039,0.059666667,0.054333333,0.039333333,0.075666667,0.089333333,0.119333333,0.179,0.236666667,0.318,0.412333333,0.544,0.675666667,0.806333333,0.951333333,1.084333333,1.199,1.286333333,1.314666667,1.335333333,1.362333333,1.385333333,1.413,1.438666667,1.467333333,1.491333333,1.507,1.534,1.552666667,1.571666667,1.59,1.604666667,1.622666667,1.635666667,1.649666667,1.663333333,1.671666667,1.682333333,1.698666667,1.708333333
