experiment,Line-Treatment,DT inflection,StDev_inf,DT interval,StDev_int,Lab strain,Strain,Treatment,Strain*Treatment,Time_0,Time_0.5,Time_1,Time_1.5,Time_2,Time_2.5,Time_3,Time_3.5,Time_4,Time_4.5,Time_5,Time_5.5,Time_6,Time_6.5,Time_7,Time_7.5,Time_8,Time_8.5,Time_9,Time_9.5,Time_10,Time_10.5,Time_11,Time_11.5,Time_12,Time_12.5,Time_13,Time_13.5,Time_14,Time_14.5,Time_15,Time_15.5,Time_16,Time_16.5,Time_17,Time_17.5,Time_18,Time_18.5,Time_19,Time_19.5,Time_20
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,WT-100 uM GDC0941,76.61818923,14.66228482,89.49907543,1.15309599,BY4743,BY4743,100 uM GDC0941,BY4743*100 uM GDC0941,0,0.034666667,0.063,0.073,0.070666667,0.083,0.105,0.140333333,0.154333333,0.190666667,0.243333333,0.311333333,0.384666667,0.478666667,0.583333333,0.697,0.809,0.919,1.009333333,1.079666667,1.107,1.105,1.111666667,1.12,1.125,1.133,1.144333333,1.152,1.160666667,1.168333333,1.179666667,1.188666667,1.198,1.209666667,1.217666667,1.227,1.234666667,1.247666667,1.253,1.262666667,1.271333333
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,WT-vehicle,77.3352617,3.504087924,81.93813645,3.754513059,BY4743,BY4743,2.5% DMSO,BY4743*2.5% DMSO,0,0.028,0.031333333,0.039333333,0.047333333,0.060333333,0.077333333,0.099666667,0.130666667,0.170333333,0.218333333,0.285666667,0.364,0.447,0.551,0.665,0.778666667,0.89,0.986,1.053333333,1.074666667,1.074333333,1.081333333,1.087666667,1.097666667,1.104,1.115666667,1.123333333,1.132666667,1.141,1.150333333,1.161333333,1.172666667,1.183333333,1.192,1.197666667,1.208666667,1.221333333,1.230666667,1.240333333,1.248666667
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3458-100 uM GDC0941,65.76447533,10.68912777,98.88835356,24.19245553,NCYC 3458,YJM978,100 uM GDC0941,YJM978*100 uM GDC0941,0,0.039333333,0.072333333,0.100666667,0.136333333,0.146333333,0.185666667,0.236333333,0.319666667,0.405,0.508,0.637666667,0.792,0.944666667,1.075666667,1.158,1.182,1.207,1.229333333,1.258,1.290333333,1.316666667,1.349,1.380666667,1.412333333,1.441,1.466666667,1.486666667,1.507666667,1.523333333,1.544,1.561333333,1.578666667,1.595,1.611,1.626,1.633666667,1.652333333,1.662,1.672666667,1.683333333
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3458-vehicle,66.85819441,2.28692575,69.73293326,3.603164908,NCYC 3458,YJM978,2.5% DMSO,YJM978*2.5% DMSO,0,0.035333333,0.045666667,0.060333333,0.078,0.106,0.145,0.196,0.262666667,0.358333333,0.451333333,0.601333333,0.760666667,0.923666667,1.054,1.133,1.157666667,1.183,1.209,1.239666667,1.273333333,1.301666667,1.334666667,1.372666667,1.405,1.435666667,1.46,1.482333333,1.503333333,1.524,1.543666667,1.561666667,1.580333333,1.597,1.613333333,1.627333333,1.639333333,1.652666667,1.663666667,1.677666667,1.687
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3460-100 uM GDC0941,67.09673118,8.692563737,66.99285843,4.324750487,NCYC 3460,Y9,100 uM GDC0941,Y9*100 uM GDC0941,0,0.033,0.043,0.061,0.069333333,0.084333333,0.107666667,0.168666667,0.225,0.304333333,0.406333333,0.524,0.653666667,0.773,0.907,1.037666667,1.150666667,1.269333333,1.337333333,1.352666667,1.384666667,1.309333333,1.343666667,1.237333333,1.145,1.069,0.822,0.741666667,0.653666667,0.620333333,0.648333333,0.664666667,0.719666667,0.754333333,0.793666667,0.845333333,0.881,0.946666667,0.998,1.038666667,1.077666667
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3460-vehicle,54.54371954,0.971876073,37.40881772,11.08433543,NCYC 3460,Y9,2.5% DMSO,Y9*2.5% DMSO,0,0.015333333,0.017666667,0.019666667,0.021333333,0.023,0.03,0.055333333,0.11,0.240666667,0.335333333,0.491,0.620666667,0.736666667,0.851,0.943,1.013333333,1.118,1.152,1.167333333,1.187,1.127,1.16,1.075333333,0.972333333,0.829666667,0.636333333,0.534333333,0.479666667,0.457333333,0.460666667,0.486,0.522,0.562333333,0.609333333,0.664666667,0.718333333,0.786333333,0.832666667,0.881333333,0.919666667
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3461-100 uM GDC0941,63.25521923,13.38881031,95.03919521,4.716719241,NCYC 3461,UWOPS03-461.4 ,100 uM GDC0941,UWOPS03-461.4 *100 uM GDC0941,0,0.056666667,0.077666667,0.122333333,0.107333333,0.149333333,0.192,0.225666667,0.291666667,0.384333333,0.493333333,0.621333333,0.762,0.907666667,1.047,1.159333333,1.210666667,1.234666667,1.256666667,1.285333333,1.32,1.349333333,1.387666667,1.424666667,1.458333333,1.493,1.523,1.547,1.570666667,1.588,1.610333333,1.628333333,1.646333333,1.663333333,1.681333333,1.690333333,1.705,1.722,1.733333333,1.742,1.757666667
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3461-vehicle,35.97523143,29.13763382,61.19584067,14.63270148,NCYC 3461,UWOPS03-461.4 ,2.5% DMSO,UWOPS03-461.4 *2.5% DMSO,0,0.042,0.04,0.037666667,0.040333333,0.047,0.096333333,0.132,0.130666667,0.284666667,0.361,0.541666667,0.68,0.846333333,1.008,1.128666667,1.185333333,1.210666667,1.235333333,1.265333333,1.304,1.338333333,1.378666667,1.419333333,1.454666667,1.488333333,1.520666667,1.549,1.574,1.594,1.615666667,1.635333333,1.658333333,1.674,1.689666667,1.703333333,1.717,1.732,1.745666667,1.752,1.768
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3462-100 uM GDC0941,69.90817249,7.062634847,104.0211428,8.297910175,NCYC 3462,UWOPS05-217.3 ,100 uM GDC0941,UWOPS05-217.3 *100 uM GDC0941,0,0.050333333,0.073666667,0.086666667,0.102,0.148666667,0.187,0.224666667,0.273,0.359333333,0.455,0.570333333,0.705,0.838333333,0.980333333,1.106666667,1.190666667,1.224,1.238666667,1.265,1.295333333,1.324,1.36,1.395,1.429666667,1.463333333,1.495666667,1.520666667,1.543666667,1.565,1.586333333,1.605333333,1.624333333,1.642666667,1.659666667,1.673,1.684666667,1.702666667,1.714666667,1.722666667,1.738666667
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3462-vehicle,27.10044142,5.473163766,43.41841122,35.79006664,NCYC 3462,UWOPS05-217.3 ,2.5% DMSO,UWOPS05-217.3 *2.5% DMSO,0,0.035333333,0.03,0.026,0.012666667,0.011666667,0.010333333,0.013333333,0.024,0.123333333,0.176666667,0.455666667,0.479666667,0.724,0.895666667,1.054,1.151,1.175,1.199,1.224333333,1.254666667,1.289,1.329,1.370666667,1.403333333,1.440333333,1.474,1.507666667,1.532666667,1.556666667,1.580333333,1.600666667,1.621666667,1.64,1.657,1.671,1.686,1.703666667,1.718333333,1.731333333,1.741
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3466-100 uM GDC0941,72.80513843,19.17528404,207.6530093,188.1362354,NCYC 3466,S288c ,100 uM GDC0941,S288c *100 uM GDC0941,0,0.041666667,0.082666667,0.106666667,0.095666667,0.116666667,0.145333333,0.178333333,0.204666667,0.232333333,0.297333333,0.359,0.438333333,0.522666667,0.627333333,0.739666667,0.847,0.960666667,1.067,1.158,1.197666667,1.207333333,1.224,1.238333333,1.254666667,1.272,1.298666667,1.322,1.347,1.371,1.396666667,1.422666667,1.448666667,1.472,1.496,1.515666667,1.538,1.559,1.580333333,1.595333333,1.617333333
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3466-vehicle,73.85018684,8.549459133,88.76591693,2.790759646,NCYC 3466,S288c ,2.5% DMSO,S288c *2.5% DMSO,0,0.035666667,0.040666667,0.050666667,0.06,0.076333333,0.098333333,0.123333333,0.16,0.202666667,0.254,0.335333333,0.409333333,0.498666667,0.6,0.713333333,0.823333333,0.942,1.052333333,1.146666667,1.179,1.191,1.207,1.220666667,1.239333333,1.259333333,1.284333333,1.308333333,1.334666667,1.359,1.386666667,1.411666667,1.438666667,1.463,1.484666667,1.505666667,1.526666667,1.551,1.571,1.588666667,1.607333333
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3467-100 uM GDC0941,106.0515248,3.859495896,117.4297996,4.218682617,NCYC 3467,W303,100 uM GDC0941,W303*100 uM GDC0941,0,0.042666667,0.044,0.049333333,0.05,0.054333333,0.061,0.066666667,0.077,0.086333333,0.103,0.120333333,0.141666667,0.167,0.201666667,0.245333333,0.289666667,0.346,0.404,0.471,0.548666667,0.620333333,0.684666667,0.726333333,0.767,0.811666667,0.857,0.895333333,0.936,0.971666667,1.010333333,1.043666667,1.078333333,1.102666667,1.117,1.121666667,1.124666667,1.134666667,1.136,1.141666667,1.149
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3467-vehicle,95.17519763,1.328732369,110.0637698,1.995518995,NCYC 3467,W303,2.5% DMSO,W303*2.5% DMSO,0,0.016333333,0.018333333,0.022666667,0.025333333,0.029666667,0.035666667,0.041666667,0.051333333,0.062666667,0.075666667,0.096,0.118,0.142,0.173,0.214,0.262666667,0.320666667,0.377,0.445333333,0.516666667,0.588,0.653,0.7,0.737,0.780666667,0.828333333,0.868666667,0.909,0.944666667,0.984,1.017333333,1.049333333,1.076,1.088333333,1.09,1.094,1.104333333,1.108666667,1.113666667,1.120666667
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3468-100 uM GDC0941,83.67497259,4.316974548,94.70622809,12.231837,NCYC 3468,UWOPS05-227.2 ,100 uM GDC0941,UWOPS05-227.2 *100 uM GDC0941,0,0.065333333,0.077,0.098,0.111666667,0.149333333,0.184666667,0.226333333,0.284666667,0.360333333,0.455333333,0.575,0.702666667,0.841666667,0.981666667,1.11,1.190333333,1.22,1.238,1.264333333,1.294666667,1.323,1.359666667,1.394333333,1.428666667,1.462,1.493,1.519,1.542333333,1.563,1.582333333,1.600333333,1.619666667,1.636,1.652333333,1.668666667,1.683666667,1.695333333,1.711,1.719666667,1.730333333
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3468-vehicle,24.43016696,1.690311503,,,NCYC 3468,UWOPS05-227.2 ,2.5% DMSO,UWOPS05-227.2 *2.5% DMSO,0,0.033333333,0.030333333,0.022,0.009666667,0.007,0.005,0.006666667,0.009,0.062333333,0.081333333,0.45,0.297,0.695333333,0.873333333,1.036666667,1.139333333,1.162666667,1.188,1.212666667,1.242666667,1.279666667,1.320666667,1.361666667,1.395,1.428333333,1.462,1.499666667,1.523666667,1.549,1.571,1.593,1.613666667,1.635,1.650666667,1.665333333,1.679,1.697333333,1.712666667,1.728333333,1.738666667
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3469-100 uM GDC0941,83.04523414,3.553021035,87.58636207,5.451652981,NCYC 3469,DBVPG 6040 ,100 uM GDC0941,DBVPG 6040 *100 uM GDC0941,0,0.068,0.079,0.092,0.109666667,0.135666667,0.171,0.215666667,0.275,0.35,0.445333333,0.553,0.671666667,0.802666667,0.938,1.075333333,1.186,1.242,1.260666667,1.285666667,1.315666667,1.343666667,1.373666667,1.405333333,1.433666667,1.461333333,1.488333333,1.511666667,1.533,1.555,1.573666667,1.588,1.608,1.624333333,1.639,1.656333333,1.667,1.681333333,1.693666667,1.708666667,1.719666667
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3469-vehicle,67.51289636,5.400781543,80.61358239,7.009786931,NCYC 3469,DBVPG 6040 ,2.5% DMSO,DBVPG 6040 *2.5% DMSO,0,0.038,0.047,0.057666667,0.076,0.099333333,0.130666667,0.175333333,0.237666667,0.295666667,0.382666667,0.521333333,0.625,0.775666667,0.914666667,1.052,1.155,1.213666667,1.233666667,1.260333333,1.290666667,1.32,1.350666667,1.382,1.41,1.439666667,1.468,1.492666667,1.513666667,1.534333333,1.553666667,1.57,1.588666667,1.603,1.620333333,1.631666667,1.643666667,1.660333333,1.674666667,1.688,1.696333333
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3470-100 uM GDC0941,70.90116562,10.33217694,78.84297604,1.35050897,NCYC 3470,YIIc17_E5 ,100 uM GDC0941,YIIc17_E5 *100 uM GDC0941,0,0.049333333,0.068666667,0.083,0.095666667,0.108666667,0.146333333,0.185,0.242333333,0.313333333,0.408666667,0.519,0.641666667,0.775333333,0.918666667,1.061,1.168333333,1.186666667,1.184,1.189666667,1.194,1.195,1.200333333,1.203,1.209666667,1.213333333,1.216666667,1.22,1.223,1.225333333,1.231333333,1.235,1.24,1.244666667,1.248666667,1.251333333,1.255,1.265666667,1.266333333,1.269666667,1.274666667
