experiment,Line-Treatment,DT inflection,StDev_inf,DT interval,StDev_int,Lab strain,Strain,Treatment,Strain*Treatment,Time_0,Time_0.5,Time_1,Time_1.5,Time_2,Time_2.5,Time_3,Time_3.5,Time_4,Time_4.5,Time_5,Time_5.5,Time_6,Time_6.5,Time_7,Time_7.5,Time_8,Time_8.5,Time_9,Time_9.5,Time_10,Time_10.5,Time_11,Time_11.5,Time_12,Time_12.5,Time_13,Time_13.5,Time_14,Time_14.5,Time_15,Time_15.5,Time_16,Time_16.5,Time_17,Time_17.5,Time_18,Time_18.5,Time_19,Time_19.5,Time_20
SET3_Low Rapa_REDO_MGK_081117.xls,YML681-vehicle,65.43101567,2.903064727,69.24868838,2.015284778,yML 681,A4,1% DMSO,A4*1% DMSO,0,0.013666667,0.016,0.011,0.034,0.099333333,0.141333333,0.194,0.262666667,0.354333333,0.451333333,0.557,0.709333333,0.868333333,1.008,1.116,1.109333333,1.131666667,1.138666667,1.162666667,1.185,1.211333333,1.238666667,1.244666667,1.277,1.299333333,1.339333333,1.373,1.406666667,1.422333333,1.455333333,1.487333333,1.498333333,1.522666667,1.550666667,1.568333333,1.573333333,1.596,1.61,1.623,1.646666667
SGRP_mTOR_inhibitsSCREEN_SET3_round3_lowTORIN_KG_091517_F.xls,YML681-vehicle,57.17120568,9.109594257,66.15459549,11.73924869,yML 681,A4,2.5% DMSO,A4*2.5% DMSO,0,0.027,0.025666667,0.027666667,0.035,0.036333333,0.101333333,0.129666667,0.163,0.252,0.330333333,0.438333333,0.563666667,0.691666667,0.833333333,0.965333333,1.083666667,1.149333333,1.192,1.197333333,1.211333333,1.217333333,1.227,1.240333333,1.251,1.267333333,1.282666667,1.298666667,1.326333333,1.339333333,1.359333333,1.379666667,1.398333333,1.409333333,1.424,1.434666667,1.464666667,1.482,1.490666667,1.509333333,1.521666667
SGRP_mTORinhibits_SET3_CAFFEINE_MGK_100817_F.xls,YML681-vehicle,43.03097346,16.26239497,42.7397132,29.30565581,yML 681,A4,6.67% H2O,A4*6.67% H2O,0,0.050666667,0.058666667,0.069333333,0.158333333,0.293666667,0.424666667,0.516333333,0.618,0.812333333,0.959,1.109666667,1.184,1.2,1.215666667,1.241,1.264,1.295666667,1.319666667,1.347333333,1.379,1.389,1.424666667,1.428666667,1.451666667,1.485,1.514333333,1.519666667,1.521333333,1.535666667,1.572333333,1.568,1.585666667,1.625,1.627333333,1.635666667,1.642666667,1.673333333,1.654333333,1.683,1.704
SGRP_mTORinhibits_SET3_GDC_Redo_JEMBL_08102017.xls,YML681-vehicle,56.85480327,0.844038639,59.11811528,1.466239195,yML 681,A4,2.5% DMSO,A4*2.5% DMSO,0,0.004,0.017333333,0.027666667,0.045666667,0.076,0.135333333,0.194333333,0.276333333,0.388666667,0.475666667,0.617333333,0.777333333,0.933333333,1.055,1.109666667,1.117,1.137,1.151666667,1.169666667,1.191333333,1.222,1.252,1.273,1.312,1.345666667,1.371,1.408333333,1.432333333,1.458666667,1.483333333,1.517,1.530333333,1.549,1.584,1.600666667,1.618666667,1.628333333,1.642333333,1.665,1.682
SGRP_mTORinhibits_SET3_highTORIN_MGK_101617_F.xls,YML681-vehicle,65.85487263,3.400561951,68.70521372,1.948231925,yML 681,A4,2.5% DMSO,A4*2.5% DMSO,0,0.018333333,0.017333333,0.024666667,0.031666667,0.064,0.08,0.139333333,0.189,0.258666667,0.344,0.444666667,0.557666667,0.703666667,0.857666667,0.98,1.059666667,1.070333333,1.091333333,1.098,1.12,1.142666667,1.159,1.180333333,1.206666667,1.251,1.272,1.295333333,1.327333333,1.346666667,1.385,1.394,1.422666667,1.439333333,1.459666667,1.496,1.512333333,1.544,1.562,1.578,1.593
SGRP_mTORinhibitsSCREEN_SET3_CAFFEINE_MGK_10082017_D.xls,YML681-vehicle,76.47158186,2.426254664,88.64470378,1.688098099,yML 681,A4,6.67% H2O,A4*6.67% H2O,0,0.048,0.041,0.05,0.074333333,0.225,0.280666667,0.362666667,0.465666667,0.572666667,0.726,0.886,1.031,1.134,1.162666667,1.161,1.175666667,1.201333333,1.236666667,1.272666667,1.304666667,1.331666667,1.35,1.389666667,1.424333333,1.447,1.463666667,1.497666667,1.512666667,1.532333333,1.546666667,1.557,1.587666667,1.612333333,1.610666667,1.637333333,1.655333333,1.664333333,1.686666667,1.688333333,1.694666667
SGRP_mTORinhibitsSCREEN_SET3_Caffeine_NBMBL_07112017.xls,YML681-vehicle,63.65893056,3.888291872,54.96549845,6.237287012,yML 681,A4,6.67% H2O,A4*6.67% H2O,0,0.009333333,0.009666667,0.012,0.016,0.022666667,0.090333333,0.211333333,0.301,0.396666667,0.502666667,0.626333333,0.798,0.940666667,1.062,1.08,1.094666667,1.102666667,1.110666667,1.133333333,1.165,1.191,1.206333333,1.220666667,1.250333333,1.252333333,1.273,1.318333333,1.350666667,1.411666667,1.424333333,1.456,1.472666667,1.51,1.525,1.557333333,1.569333333,1.594333333,1.608666667,1.617333333,1.645666667
SGRP_mTORinhibitsSCREEN_SET3_LOWTORIN_MGK_09112017F.xls,YML681-vehicle,67.90891478,1.502175889,67.63534963,7.960797379,yML 681,A4,2.5% DMSO,A4*2.5% DMSO,0,0.012666667,0.011666667,0.013333333,0.023333333,0.024666667,0.027333333,0.106333333,0.195,0.26,0.349666667,0.448333333,0.592666667,0.737666667,0.897,1.015,1.065333333,1.070333333,1.086,1.096333333,1.116333333,1.135,1.157,1.189,1.227333333,1.238666667,1.269,1.289333333,1.300666667,1.314,1.366,1.395666667,1.434666667,1.461,1.483,1.501666667,1.517666667,1.553333333,1.574,1.601,1.611
SGRP_mTORinhibitsSCREEN_SET3_LOWTORIN_PUMT_062817.xls,YML681-vehicle,48.5200542,30.1694046,33.30274686,8.360835781,yML 681,A4,2.5% DMSO,A4*2.5% DMSO,0,0.008333333,0.008666667,0.010333333,0.025,0.059333333,0.075333333,0.098666667,0.199666667,0.364666667,0.439666667,0.578666667,0.736333333,0.913666667,1.025666667,1.088,1.096,1.109333333,1.13,1.146666667,1.169333333,1.191666667,1.219333333,1.250666667,1.280666667,1.296333333,1.323333333,1.347333333,1.377666667,1.408,1.423333333,1.450666667,1.473666667,1.487333333,1.503333333,1.528,1.542666667,1.565333333,1.587,1.585,1.601666667
SGRP_mTORinhibitsSCREEN_SET3_round2_GDC_KG_09142017_D.xls,YML681-vehicle,66.41175527,3.283464939,72.75895104,7.151177252,yML 681,A4,2.5% DMSO,A4*2.5% DMSO,0,0.025333333,0.024,0.023333333,0.025,0.056333333,0.063666667,0.165333333,0.225333333,0.304,0.398333333,0.509,0.629,0.753,0.879333333,1.028333333,1.146,1.186,1.183,1.194333333,1.21,1.224333333,1.219,1.222666667,1.251333333,1.272333333,1.286,1.3,1.306333333,1.319333333,1.334,1.351666667,1.36,1.383666667,1.403,1.420666667,1.452666667,1.490666667,1.502333333,1.514666667,1.521666667
