experiment,Line-Treatment,DT inflection,StDev_inf,DT interval,StDev_int,Lab strain,Strain,Treatment,Strain*Treatment,Time_0,Time_0.5,Time_1,Time_1.5,Time_2,Time_2.5,Time_3,Time_3.5,Time_4,Time_4.5,Time_5,Time_5.5,Time_6,Time_6.5,Time_7,Time_7.5,Time_8,Time_8.5,Time_9,Time_9.5,Time_10,Time_10.5,Time_11,Time_11.5,Time_12,Time_12.5,Time_13,Time_13.5,Time_14,Time_14.5,Time_15,Time_15.5,Time_16,Time_16.5,Time_17,Time_17.5,Time_18,Time_18.5,Time_19,Time_19.5,Time_20
_lowTORIN_KGPUMBL_052817.xls,NCYC 3319-1 uM Torin 1,69.79410118,1.026060191,75.84465278,4.855519703,NCYC 3319,L-1528,1 uM Torin 1,L-1528*1 uM Torin 1,0,0.099,0.125666667,0.154333333,0.191,0.256666667,0.337333333,0.449333333,0.571333333,0.710333333,0.859666667,0.983,1.131333333,1.201,1.225,1.242333333,1.271666667,1.286666667,1.309666667,1.337,1.367666667,1.403666667,1.436,1.459666667,1.488666667,1.503,1.517333333,1.544666667,1.548,1.578666667,1.599333333,1.61,1.632,1.645666667,1.664333333,1.678,1.688,1.691333333,1.704,1.721,1.718333333
_lowTORIN_KGPUMBL_052817.xls,NCYC 3319-2.5% DMSO,68.86418431,2.440988273,70.39934732,1.437882114,NCYC 3319,L-1528,2.5% DMSO,L-1528*2.5% DMSO,0,0.079,0.105666667,0.125333333,0.161333333,0.214,0.287333333,0.384333333,0.502,0.633,0.777333333,0.908666667,1.055,1.163666667,1.196666667,1.218333333,1.235666667,1.254333333,1.282666667,1.308,1.339,1.375333333,1.407666667,1.435,1.461333333,1.479333333,1.496666667,1.515666667,1.523666667,1.554,1.577666667,1.595,1.612333333,1.627333333,1.645666667,1.661,1.673333333,1.675,1.685666667,1.701,1.708333333
SET1GDC_ARMBL_080217.xls,NCYC 3319-100 uM GDC0941,66.49815061,1.57720956,68.90915009,0.448784162,NCYC 3319,L-1528,100 uM GDC0941,L-1528*100 uM GDC0941,0,0.021,0.022333333,0.026666667,0.033666667,0.043,0.058,0.076333333,0.101333333,0.137,0.188333333,0.253666667,0.343333333,0.452333333,0.582,0.724333333,0.864333333,1.007666667,1.114666667,1.152666667,1.173,1.189333333,1.216,1.245666667,1.273666667,1.307,1.335333333,1.37,1.4,1.424666667,1.454666667,1.472,1.495,1.513,1.53,1.55,1.565666667,1.584,1.601666667,1.615666667,1.629333333
SET1GDC_ARMBL_080217.xls,NCYC 3319-vehicle,67.17642839,0.951539367,68.73579332,0.986907292,NCYC 3319,L-1528,2.5% DMSO,L-1528*2.5% DMSO,0,0.028,0.032333333,0.038333333,0.046333333,0.058333333,0.078666667,0.105333333,0.14,0.185666667,0.253,0.34,0.451,0.573333333,0.728666667,0.858,1.003,1.121,1.144666667,1.16,1.182333333,1.207,1.236666667,1.263,1.294333333,1.327,1.358,1.390666667,1.417,1.439666667,1.466666667,1.483666667,1.505666667,1.523333333,1.539,1.558333333,1.572666667,1.589666667,1.607333333,1.620333333,1.634
SGRP_mTOR_inhibitsSCREEN_SET1_GDC_redo_JE_092617.xls,NCYC 3319-100 uM GDC0941,69.65079885,0.915454843,70.66603427,0.665440934,NCYC 3319,L-1528,100 uM GDC0941,L-1528*100 uM GDC0941,0,0.064333333,0.073,0.083666667,0.104333333,0.131333333,0.172,0.230333333,0.31,0.414,0.539333333,0.683333333,0.840666667,0.979,1.115333333,1.210666667,1.230333333,1.248333333,1.267,1.293,1.318,1.341333333,1.366666667,1.398,1.423666667,1.450333333,1.471666667,1.499333333,1.512333333,1.540333333,1.559666667,1.575666667,1.589333333,1.606333333,1.620666667,1.634,1.648333333,1.662333333,1.674666667,1.685666667,1.697666667
SGRP_mTOR_inhibitsSCREEN_SET1_GDC_redo_JE_092617.xls,NCYC 3319-vehicle,62.66876364,1.951957163,64.69177238,0.739037202,NCYC 3319,L-1528,2.5% DMSO,L-1528*2.5% DMSO,0,0.046,0.053333333,0.067666667,0.088333333,0.118666667,0.167333333,0.233,0.318333333,0.434333333,0.561666667,0.717,0.874,1.009666667,1.134,1.191666667,1.210333333,1.228,1.250333333,1.279666667,1.303,1.325333333,1.353,1.385333333,1.41,1.439666667,1.466666667,1.489,1.510333333,1.529333333,1.545666667,1.563333333,1.579333333,1.593333333,1.612,1.625666667,1.638666667,1.652333333,1.667333333,1.676,1.688333333
SGRP_mTOR_inhibitsSCREEN_SET1_highgdc-0941_AR_053117.xls,NCYC 3319-100uM GDC0941,69.57516048,10.94812212,83.0291781,1.923558886,NCYC 3319,L-1528,100 uM GDC0941,L-1528*100 uM GDC0941,0,0.106,0.112666667,0.117333333,0.150333333,0.178333333,0.226666667,0.29,0.381666667,0.499666667,0.632666667,0.783333333,0.933,1.073,1.204666667,1.259333333,1.276333333,1.295666667,1.322,1.348666667,1.375666667,1.402333333,1.432333333,1.463,1.493333333,1.521333333,1.544,1.562,1.581666667,1.597666667,1.605666667,1.631,1.649333333,1.665,1.678333333,1.692,1.706666667,1.719333333,1.730333333,1.742,1.751666667
SGRP_mTOR_inhibitsSCREEN_SET1_highgdc-0941_AR_053117.xls,NCYC 3319-vehicle,62.32907615,1.322126145,69.60073995,3.116492765,NCYC 3319,L-1528,2.5% DMSO,L-1528*2.5% DMSO,0,0.068333333,0.075333333,0.089666667,0.120333333,0.161333333,0.216,0.293333333,0.402,0.530333333,0.677333333,0.823,0.973,1.098666667,1.170666667,1.218666667,1.239,1.262333333,1.291,1.317333333,1.347,1.377666667,1.412,1.441,1.469,1.495666667,1.520333333,1.54,1.560333333,1.583666667,1.597666667,1.612,1.63,1.645666667,1.658,1.672,1.685666667,1.698333333,1.708,1.718333333,1.728
SGRP_mTOR_inhibitsSCREEN_SET1_highTORIN_KGPUMBL_052817.xls,NCYC 3319-vehicle,62.88192498,1.556851572,65.43365471,0.242131529,NCYC 3319,L-1528,2.5% DMSO,L-1528*2.5% DMSO,0,0.055666667,0.064333333,0.078666667,0.102333333,0.133666667,0.185333333,0.252666667,0.349666667,0.466333333,0.605,0.764666667,0.908666667,1.058666667,1.181333333,1.211333333,1.23,1.251,1.281333333,1.311333333,1.338666667,1.369333333,1.397333333,1.429333333,1.459333333,1.485666667,1.506666667,1.529333333,1.550666667,1.570333333,1.589333333,1.605,1.627333333,1.637333333,1.655,1.667,1.679333333,1.690666667,1.701666667,1.713666667,1.723666667
SGRP_mTOR_inhibitsSCREEN_SET1_highTORIN_KGPUMBL_052817.xls,NCYC 3319-25uM Torin 1,72.69236417,0.932652991,79.11365759,3.046017057,NCYC 3319,L-1528,25 uM Torin 1,L-1528*25 uM Torin 1,0,0.050666667,0.053,0.053,0.053666667,0.056666667,0.06,0.066666667,0.075666667,0.088333333,0.104333333,0.127,0.153666667,0.191666667,0.250333333,0.328666667,0.437,0.564666667,0.710333333,0.859333333,1.010666667,1.143,1.212666667,1.233,1.252333333,1.278333333,1.300666667,1.327,1.352,1.381666667,1.409333333,1.437666667,1.465,1.489666667,1.510333333,1.529666667,1.548666667,1.564666667,1.582,1.598666667,1.614
