experiment,Line-Treatment,DT inflection,StDev_inf,DT interval,StDev_int,Lab strain,Strain,Treatment,Strain*Treatment,Time_0,Time_0.5,Time_1,Time_1.5,Time_2,Time_2.5,Time_3,Time_3.5,Time_4,Time_4.5,Time_5,Time_5.5,Time_6,Time_6.5,Time_7,Time_7.5,Time_8,Time_8.5,Time_9,Time_9.5,Time_10,Time_10.5,Time_11,Time_11.5,Time_12,Time_12.5,Time_13,Time_13.5,Time_14,Time_14.5,Time_15,Time_15.5,Time_16,Time_16.5,Time_17,Time_17.5,Time_18,Time_18.5,Time_19,Time_19.5,Time_20
SCREEN_SET2_HIGHTORIN#3_MGK_09302017_F.xls,yML560-vehicle,85.68223779,4.82186516,93.83834712,1.821606414,yML 560,UC5,2.5% DMSO,UC5*2.5% DMSO,0,0.022333333,0.027,0.036,0.039,0.050333333,0.063333333,0.079333333,0.096666667,0.123333333,0.154,0.195333333,0.243333333,0.303,0.377666667,0.468666667,0.572666667,0.671,0.780333333,0.889666667,0.992333333,1.067333333,1.110666667,1.125333333,1.145666667,1.176666667,1.204,1.234666667,1.264,1.294333333,1.326333333,1.355333333,1.368,1.407333333,1.432666667,1.452,1.472,1.491666667,1.508,1.527,1.543333333
SCREEN_SET2_HIGHTORIN#3_MGK_09302017_F.xls,yML560-25 uM Torin 1,110.3272738,13.03904466,122.2966735,20.26322839,yML 560,UC5,25 uM Torin 1,UC5*25 uM Torin 1,0,0.028666667,0.031333333,0.030666667,0.032,0.033,0.035333333,0.039333333,0.044333333,0.049,0.054666667,0.059666667,0.065,0.071333333,0.078,0.089,0.100666667,0.116,0.132333333,0.154,0.181,0.208333333,0.248,0.292,0.344333333,0.407,0.473,0.546333333,0.618666667,0.693,0.752333333,0.804,0.858333333,0.905,0.940666667,0.984333333,1.030333333,1.085,1.137,1.192666667,1.249
SET2_caffeine_KGPU_080517.xls,yML560-1000 ug/ml Caffeine,119.5048718,10.78412766,130.4824331,2.132065657,yML 560,UC5,1 mg/mL Caffeine,UC5*1 mg/mL Caffeine,0,0.035333333,0.035,0.038666667,0.044,0.055,0.064333333,0.075333333,0.088,0.100333333,0.117,0.135,0.158,0.184,0.215,0.251333333,0.297666667,0.345666667,0.406,0.472,0.544333333,0.620333333,0.701666667,0.779666667,0.862666667,0.933666667,0.992,1.047,1.091,1.124333333,1.146,1.161333333,1.182666667,1.206,1.230666667,1.256,1.284,1.310666667,1.336666667,1.364333333,1.389333333
SET2_caffeine_KGPU_080517.xls,yML560-vehicle,82.20348114,0.320752956,88.62081528,0.914000008,yML 560,UC5,6.67% H2O,UC5*6.67% H2O,0,0.026666667,0.030333333,0.037,0.046666667,0.063666667,0.079666667,0.101,0.128666667,0.165,0.208333333,0.262333333,0.331666667,0.415,0.521666667,0.636333333,0.758,0.879333333,0.993,1.061333333,1.104666667,1.125333333,1.148666667,1.174,1.208,1.239333333,1.275666667,1.307,1.343,1.372333333,1.402333333,1.430333333,1.455333333,1.481333333,1.500666667,1.521,1.543666667,1.561333333,1.578,1.597333333,1.614
SET2AZDredo+highTORINMBL_07302017.xls,yML560-100 uM AZD8055,97.1626406,2.131634827,108.7985373,3.528720948,yML 560,UC5,100 uM AZD8055,UC5*100 uM AZD8055,0,0.047666667,0.053333333,0.062666667,0.070333333,0.087333333,0.109666667,0.13,0.161,0.197333333,0.232666667,0.286666667,0.351666667,0.434666667,0.530666667,0.633,0.736666667,0.847,0.952666667,1.052,1.118666667,1.128666667,1.145333333,1.166666667,1.195,1.224,1.258,1.285666667,1.316333333,1.343666667,1.379,1.402,1.426,1.453666667,1.473666667,1.493333333,1.515333333,1.537666667,1.547666667,1.566,1.583666667
SET2AZDredo+highTORINMBL_07302017.xls,yML560-vehicle,87.40690699,1.778086819,100.7122342,6.046731414,yML 560,UC5,2.5% DMSO,UC5*2.5% DMSO,0,0.041333333,0.049,0.058666667,0.067666667,0.085666667,0.107666667,0.125333333,0.158666667,0.191,0.228,0.289333333,0.354333333,0.439333333,0.529666667,0.628666667,0.738,0.851333333,0.958333333,1.052333333,1.103,1.121,1.139,1.164666667,1.192666667,1.222666667,1.257666667,1.283333333,1.315,1.342,1.377,1.399333333,1.423,1.45,1.469666667,1.488333333,1.509666667,1.529666667,1.541666667,1.560333333,1.573666667
SGRP_mTOR_inhibitsSCREEN_SET2_HighRAPA+LowTorin_Repeat_JEMBL_073,yML 560-1% DMSO,86.33721023,0.968698355,91.43302917,1.216959464,yML 560,UC5,1% DMSO,UC5*1% DMSO,0,0.038,0.049,0.062333333,0.079333333,0.100333333,0.127333333,0.162,0.204666667,0.256666667,0.320666667,0.403333333,0.503333333,0.620666667,0.744333333,0.872666667,0.988333333,1.090333333,1.122666667,1.14,1.157333333,1.190666667,1.220666667,1.257,1.290666667,1.326333333,1.355333333,1.389333333,1.413666667,1.439333333,1.462333333,1.487333333,1.506333333,1.527333333,1.551,1.578666667,1.595666667,1.617333333,1.637333333,1.659666667,1.682
SGRP_mTOR_inhibitsSCREEN_SET2_HighRAPA+LowTorin_Repeat_JEMBL_073,yML 560-20 ng/ml RAPA,243.840046,1.20129185,391.4188489,6.118357807,yML 560,UC5,20 ng/mL RAPA,UC5*20 ng/mL RAPA,0,0.032,0.038666667,0.047333333,0.052,0.055666667,0.060333333,0.064,0.07,0.075333333,0.080666667,0.088333333,0.095333333,0.102666667,0.109666667,0.118333333,0.127666667,0.137,0.146,0.156,0.167333333,0.176666667,0.186,0.198666667,0.211,0.226333333,0.238,0.258,0.268333333,0.285333333,0.3,0.317,0.334666667,0.352666667,0.37,0.393666667,0.409333333,0.429,0.454,0.473333333,0.491333333
SGRP_mTOR_inhibitsSCREEN_SET2_highTORIN_JEMBL_081717.xls,yML560-vehicle,87.7484259,0.928368859,89.15558112,0.209450916,yML 560,UC5,2.5% DMSO,UC5*2.5% DMSO,0,0.029,0.033666667,0.041666667,0.051333333,0.063,0.079,0.096333333,0.121,0.148666667,0.185666667,0.235,0.297666667,0.372666667,0.464,0.564,0.669,0.778,0.885666667,0.990666667,1.063,1.107333333,1.124,1.141333333,1.163333333,1.191,1.217666667,1.247,1.276666667,1.305333333,1.334,1.363333333,1.390666667,1.415333333,1.441333333,1.462666667,1.486666667,1.505,1.524333333,1.543666667,1.560666667
SGRP_mTOR_inhibitsSCREEN_SET2_highTORIN_JEMBL_081717.xls,yML560-25 uM Torin 1,110.1416305,8.70660254,119.9635455,9.06570071,yML 560,UC5,25 uM Torin 1,UC5*25 uM Torin 1,0,0.016,0.020333333,0.022666667,0.025666667,0.028666667,0.033333333,0.037333333,0.042333333,0.048333333,0.054,0.060666667,0.067333333,0.077,0.089333333,0.101,0.115333333,0.135333333,0.155333333,0.182333333,0.216666667,0.255333333,0.305333333,0.366333333,0.434333333,0.521,0.612666667,0.717333333,0.825333333,0.933,1.036,1.118,1.157333333,1.171333333,1.192,1.217333333,1.249,1.279666667,1.309333333,1.339,1.37
