experiment,Line-Treatment,DT inflection,StDev_inf,DT interval,StDev_int,Lab strain,Strain,Treatment,Strain*Treatment,Time_0,Time_0.5,Time_1,Time_1.5,Time_2,Time_2.5,Time_3,Time_3.5,Time_4,Time_4.5,Time_5,Time_5.5,Time_6,Time_6.5,Time_7,Time_7.5,Time_8,Time_8.5,Time_9,Time_9.5,Time_10,Time_10.5,Time_11,Time_11.5,Time_12,Time_12.5,Time_13,Time_13.5,Time_14,Time_14.5,Time_15,Time_15.5,Time_16,Time_16.5,Time_17,Time_17.5,Time_18,Time_18.5,Time_19,Time_19.5,Time_20
_lowTORIN_KGPUMBL_052817.xls,WT-2.5% DMSO,84.38310148,4.532747882,90.55686086,2.269390429,BY4743,BY4743,2.5% DMSO,BY4743*2.5% DMSO,0,0.076,0.088666667,0.1,0.118,0.143,0.181,0.227666667,0.286,0.363,0.447,0.551,0.667333333,0.78,0.888333333,0.986,1.052333333,1.083333333,1.094,1.098333333,1.112666667,1.117666667,1.128333333,1.134333333,1.144,1.152666667,1.164333333,1.173333333,1.175666667,1.196333333,1.204666667,1.217333333,1.224,1.233666667,1.240666667,1.255333333,1.266666667,1.271,1.280333333,1.289333333,1.298333333
_lowTORIN_KGPUMBL_052817.xls,NCYC 3264-2.5% DMSO,75.87217186,2.820883198,78.77880647,3.535895469,NCYC 3264,DBVPG 6765,2.5% DMSO,DBVPG 6765*2.5% DMSO,0,0.101333333,0.135,0.160666667,0.205333333,0.267,0.350333333,0.455,0.577666667,0.714666667,0.857333333,0.994,1.113,1.167333333,1.194666667,1.225333333,1.246666667,1.271333333,1.301,1.325666667,1.354333333,1.385333333,1.415,1.435333333,1.463333333,1.483333333,1.502666667,1.520666667,1.525,1.554,1.576333333,1.585666667,1.602666667,1.617666667,1.629333333,1.64,1.655,1.658666667,1.666666667,1.679333333,1.685
_lowTORIN_KGPUMBL_052817.xls,NCYC 3265-2.5% DMSO,105.5681652,36.61782352,353.3879904,38.30609662,NCYC 3265,SK1,2.5% DMSO,SK1*2.5% DMSO,0,0.025666667,0.029666667,0.033333333,0.039666667,0.048333333,0.057333333,0.077,0.091333333,0.117,0.149666667,0.184666667,0.224333333,0.268,0.3,0.326333333,0.339,0.351333333,0.366666667,0.381333333,0.401,0.42,0.439666667,0.459,0.480666667,0.496666667,0.517333333,0.536333333,0.558333333,0.584,0.610333333,0.626333333,0.653333333,0.671,0.688,0.705666667,0.725666667,0.733,0.750333333,0.767,0.778666667
_lowTORIN_KGPUMBL_052817.xls,NCYC 3266-2.5% DMSO,72.68317409,1.829391408,79.65042236,2.82298528,NCYC 3266,Y55,2.5% DMSO,Y55*2.5% DMSO,0,0.117666667,0.141666667,0.174666667,0.223333333,0.290333333,0.385666667,0.508333333,0.634333333,0.783666667,0.933,1.082333333,1.188333333,1.213,1.238666667,1.264,1.28,1.298,1.33,1.355,1.386333333,1.418333333,1.449,1.474666667,1.498,1.518,1.54,1.561,1.569333333,1.599666667,1.621666667,1.642,1.656666667,1.672666667,1.691,1.703666667,1.719,1.720333333,1.733333333,1.749333333,1.751666667
_lowTORIN_KGPUMBL_052817.xls,NCYC 3284-2.5% DMSO,13.93158095,2.61817186,74.76138294,23.10661738,NCYC 3284,YPS128,2.5% DMSO,YPS128*2.5% DMSO,0,0.087333333,0.099333333,0.098,0.088,0.159333333,0.205333333,0.081333333,0.339333333,0.442333333,0.554666667,0.658333333,0.764333333,0.835,0.871,0.894,0.914333333,0.916666667,0.947333333,0.963666667,0.988666667,1.007333333,1.025,1.04,1.053333333,1.06,1.076333333,1.083666667,1.082333333,1.110333333,1.123,1.124333333,1.140333333,1.149333333,1.158,1.163333333,1.172666667,1.168333333,1.179,1.194,1.189666667
_lowTORIN_KGPUMBL_052817.xls,NCYC 3290-2.5% DMSO,56.01632749,9.824778976,114.0086213,50.77517198,NCYC 3290,DBVPG 6044,2.5% DMSO,DBVPG 6044*2.5% DMSO,0,0.040666667,0.045333333,0.053333333,0.083333333,0.191,0.238666667,0.270666667,0.390333333,0.491333333,0.62,0.737,0.896333333,1.030333333,1.156333333,1.251333333,1.289,1.303666667,1.329666667,1.345333333,1.372666667,1.401,1.418666667,1.441,1.462,1.481333333,1.498333333,1.517666667,1.529,1.552666667,1.578,1.593333333,1.617,1.635666667,1.655666667,1.671,1.692,1.699333333,1.712666667,1.732333333,1.736666667
_lowTORIN_KGPUMBL_052817.xls,NCYC 3311-2.5% DMSO,76.46022993,5.026645363,84.30610307,2.25189223,NCYC 3311,DBVPG 1788,2.5% DMSO,DBVPG 1788*2.5% DMSO,0,0.077,0.092,0.107666667,0.136333333,0.170666667,0.216666667,0.285,0.357666667,0.452,0.572666667,0.695,0.836,0.974666667,1.1,1.176,1.196,1.21,1.238666667,1.262666667,1.293333333,1.323666667,1.354666667,1.381333333,1.406,1.424333333,1.447,1.467,1.478666667,1.519333333,1.544333333,1.564,1.581666667,1.6,1.619333333,1.631666667,1.650333333,1.653666667,1.671,1.684,1.693666667
_lowTORIN_KGPUMBL_052817.xls,NCYC 3312-2.5% DMSO,54.02802736,31.41936887,67.40633641,43.05151032,NCYC 3312,DBVPG 1373,2.5% DMSO,DBVPG 1373*2.5% DMSO,0,0.096,0.109666667,0.104333333,0.107666667,0.201333333,0.261,0.337333333,0.411666667,0.519666667,0.640333333,0.753,0.872,0.964,1.048333333,1.136666667,1.200333333,1.235,1.269666667,1.303,1.335,1.370333333,1.400666667,1.424333333,1.454666667,1.471333333,1.493666667,1.513666667,1.525333333,1.555,1.577,1.595333333,1.612,1.624333333,1.639666667,1.652666667,1.671,1.673666667,1.687,1.7,1.71
_lowTORIN_KGPUMBL_052817.xls,NCYC 3313-2.5% DMSO,82.56180073,5.097579765,110.6119704,44.89169741,NCYC 3313,DBVPG 1853,2.5% DMSO,DBVPG 1853*2.5% DMSO,0,0.096666667,0.115333333,0.123666667,0.153,0.192,0.243,0.308,0.379333333,0.464666667,0.552666667,0.640333333,0.731666667,0.813666667,0.859,0.893,0.906333333,0.924,0.954333333,0.992666667,1.034666667,1.080333333,1.128333333,1.178333333,1.232333333,1.284,1.341,1.388666667,1.403333333,1.427333333,1.447333333,1.466,1.485,1.500666667,1.518333333,1.537333333,1.557333333,1.563,1.581333333,1.599666667,1.609333333
_lowTORIN_KGPUMBL_052817.xls,NCYC 3319-2.5% DMSO,68.86418431,2.440988273,70.39934732,1.437882114,NCYC 3319,L-1528,2.5% DMSO,L-1528*2.5% DMSO,0,0.079,0.105666667,0.125333333,0.161333333,0.214,0.287333333,0.384333333,0.502,0.633,0.777333333,0.908666667,1.055,1.163666667,1.196666667,1.218333333,1.235666667,1.254333333,1.282666667,1.308,1.339,1.375333333,1.407666667,1.435,1.461333333,1.479333333,1.496666667,1.515666667,1.523666667,1.554,1.577666667,1.595,1.612333333,1.627333333,1.645666667,1.661,1.673333333,1.675,1.685666667,1.701,1.708333333
