experiment,Line-Treatment,DT inflection,StDev_inf,DT interval,StDev_int,Lab strain,Strain,Treatment,Strain*Treatment,Time_0,Time_0.5,Time_1,Time_1.5,Time_2,Time_2.5,Time_3,Time_3.5,Time_4,Time_4.5,Time_5,Time_5.5,Time_6,Time_6.5,Time_7,Time_7.5,Time_8,Time_8.5,Time_9,Time_9.5,Time_10,Time_10.5,Time_11,Time_11.5,Time_12,Time_12.5,Time_13,Time_13.5,Time_14,Time_14.5,Time_15,Time_15.5,Time_16,Time_16.5,Time_17,Time_17.5,Time_18,Time_18.5,Time_19,Time_19.5,Time_20
_lowTORIN_KGPUMBL_052817.xls,WT-1 uM Torin 1,88.64268986,1.594672157,92.62246295,1.216821316,BY4743,BY4743,1 uM Torin 1,BY4743*1 uM Torin 1,0,0.082333333,0.101666667,0.116,0.138333333,0.172333333,0.216,0.273,0.341,0.421,0.515666667,0.618333333,0.735333333,0.843,0.941666667,1.022666667,1.066333333,1.073333333,1.077,1.087,1.096333333,1.103333333,1.111333333,1.116333333,1.134,1.140666667,1.146,1.164666667,1.159333333,1.183666667,1.188,1.200333333,1.209,1.217666667,1.227,1.234666667,1.247666667,1.249,1.258666667,1.277666667,1.28
_lowTORIN_KGPUMBL_052817.xls,NCYC 3264-1 uM Torin 1,75.62291592,2.134291971,79.95070509,1.244013745,NCYC 3264,DBVPG 6765,1 uM Torin 1,DBVPG 6765*1 uM Torin 1,0,0.109666667,0.145666667,0.179666667,0.229666667,0.302333333,0.394333333,0.508666667,0.63,0.766333333,0.905333333,1.035333333,1.137333333,1.167,1.194666667,1.216333333,1.247,1.27,1.295666667,1.322333333,1.353,1.381666667,1.409666667,1.431666667,1.461666667,1.479666667,1.496,1.520666667,1.521333333,1.55,1.566333333,1.579666667,1.597,1.607,1.620666667,1.630333333,1.644333333,1.644666667,1.653666667,1.673,1.672333333
_lowTORIN_KGPUMBL_052817.xls,NCYC 3265-1 uM Torin 1,83.89190834,3.952745202,106.1272435,26.09305252,NCYC 3265,SK1,1 uM Torin 1,SK1*1 uM Torin 1,0,0.048333333,0.063666667,0.076666667,0.093666667,0.119,0.150666667,0.192,0.237,0.298,0.371333333,0.439666667,0.504333333,0.558333333,0.593333333,0.618666667,0.638333333,0.654,0.669,0.687,0.708333333,0.729,0.748666667,0.764,0.785,0.801666667,0.815333333,0.84,0.847666667,0.871,0.884333333,0.900666667,0.915333333,0.930333333,0.948333333,0.96,0.977,0.980666667,0.993333333,1.015666667,1.02
_lowTORIN_KGPUMBL_052817.xls,NCYC 3266-1 uM Torin 1,77.61107682,3.162355014,89.4779188,5.255313681,NCYC 3266,Y55,1 uM Torin 1,Y55*1 uM Torin 1,0,0.151666667,0.196666667,0.241,0.309,0.403666667,0.520666667,0.654666667,0.799,0.945,1.092333333,1.192666667,1.224666667,1.248666667,1.268666667,1.291333333,1.319333333,1.339,1.363666667,1.394333333,1.423,1.456,1.483,1.502666667,1.528,1.545666667,1.562666667,1.590666667,1.594666667,1.63,1.645,1.659,1.676666667,1.691333333,1.709666667,1.717,1.734333333,1.737333333,1.740666667,1.761666667,1.763333333
_lowTORIN_KGPUMBL_052817.xls,NCYC 3284-1 uM Torin 1,25.11799665,2.084768964,57.91756806,43.16779595,NCYC 3284,YPS128,1 uM Torin 1,YPS128*1 uM Torin 1,0,0.183333333,0.197,0.154333333,0.178,0.410666667,0.525,0.647333333,0.797666667,0.937333333,1.081333333,1.198,1.298,1.338,1.370666667,1.397,1.430666667,1.438666667,1.471,1.501666667,1.534666667,1.57,1.583666667,1.592666667,1.619,1.621,1.644666667,1.664666667,1.65,1.699666667,1.713333333,1.712,1.738,1.747666667,1.760333333,1.763666667,1.770333333,1.772,1.78,1.811,1.801333333
_lowTORIN_KGPUMBL_052817.xls,NCYC 3290-1 uM Torin 1,70.50659959,22.68812387,65.73777009,3.922732817,NCYC 3290,DBVPG 6044,1 uM Torin 1,DBVPG 6044*1 uM Torin 1,0,0.058,0.074,0.094,0.14,0.254333333,0.322333333,0.395666667,0.504333333,0.619666667,0.749666667,0.865666667,1.006666667,1.134666667,1.244666667,1.286333333,1.310666667,1.326333333,1.35,1.377,1.4,1.429,1.451333333,1.466666667,1.493666667,1.509333333,1.529333333,1.555333333,1.562,1.591,1.608666667,1.627,1.642333333,1.66,1.677666667,1.693333333,1.710333333,1.713666667,1.728333333,1.749333333,1.752
_lowTORIN_KGPUMBL_052817.xls,NCYC 3311-1 uM Torin 1,76.07740818,4.352544028,80.09559022,4.555503999,NCYC 3311,DBVPG 1788,1 uM Torin 1,DBVPG 1788*1 uM Torin 1,0,0.079666667,0.105333333,0.124333333,0.153333333,0.192,0.249,0.324,0.411333333,0.510666667,0.626,0.746,0.891666667,1.026,1.138333333,1.195,1.214666667,1.227666667,1.252666667,1.281666667,1.313,1.347,1.380333333,1.399,1.432,1.448,1.469,1.495333333,1.500666667,1.540333333,1.562666667,1.578,1.599333333,1.619,1.642666667,1.650666667,1.668,1.673666667,1.684,1.706,1.707
_lowTORIN_KGPUMBL_052817.xls,NCYC 3312-1 uM Torin 1,77.81342141,2.300773393,88.22725788,3.111896087,NCYC 3312,DBVPG 1373,1 uM Torin 1,DBVPG 1373*1 uM Torin 1,0,0.085333333,0.111333333,0.128666667,0.16,0.203666667,0.256666667,0.32,0.418,0.517666667,0.624,0.728666667,0.850333333,0.959,1.067,1.155,1.2,1.218333333,1.247,1.280666667,1.32,1.355333333,1.384,1.407,1.434333333,1.454333333,1.477333333,1.509666667,1.513,1.552666667,1.574,1.583,1.606,1.617333333,1.643,1.65,1.665,1.671333333,1.68,1.706,1.705333333
_lowTORIN_KGPUMBL_052817.xls,NCYC 3313-1 uM Torin 1,86.42642529,4.274830635,100.1361162,17.69626227,NCYC 3313,DBVPG 1853,1 uM Torin 1,DBVPG 1853*1 uM Torin 1,0,0.138666667,0.171666667,0.196,0.238666667,0.299666667,0.38,0.477666667,0.59,0.703666667,0.825333333,0.946,1.077,1.169,1.237666667,1.259666667,1.272666667,1.286666667,1.301,1.323333333,1.349333333,1.376333333,1.399666667,1.417333333,1.441,1.456666667,1.477333333,1.504666667,1.510333333,1.542333333,1.559,1.572,1.589333333,1.605333333,1.625333333,1.631333333,1.648666667,1.650333333,1.659666667,1.683666667,1.683333333
_lowTORIN_KGPUMBL_052817.xls,NCYC 3314-1 uM Torin 1,,,,,NCYC 3314,BC187,1 uM Torin 1,BC187*1 uM Torin 1,0,0.009,0.015333333,0.014666667,0.013666667,0.014,0.015333333,0.018666667,0.019666667,0.014333333,0.017,0.013333333,0.013,0.015,0.014,0.014,0.018,0.015,0.011,0.012333333,0.016333333,0.013666667,0.015,0.012333333,0.015,0.013666667,0.009666667,0.02,0.009666667,0.017,0.013,0.015,0.016666667,0.012,0.013333333,0.015666667,0.017,0.007666667,0.010333333,0.018333333,0.011
_lowTORIN_KGPUMBL_052817.xls,NCYC 3315-1 uM Torin 1,,,,,NCYC 3315,YPS606,1 uM Torin 1,YPS606*1 uM Torin 1,0,0.007333333,0.014666667,0.013,0.011333333,0.012,0.012333333,0.018,0.017,0.012333333,0.015,0.011666667,0.010666667,0.012333333,0.012,0.013,0.016333333,0.014,0.008666667,0.011,0.012333333,0.012,0.011666667,0.012333333,0.012666667,0.01,0.008666667,0.018333333,0.008333333,0.015,0.011333333,0.013666667,0.015333333,0.012666667,0.012,0.015,0.015,0.006666667,0.009666667,0.016666667,0.008
_lowTORIN_KGPUMBL_052817.xls,NCYC 3318-1 uM Torin 1,,,,,NCYC 3318,L-1374,1 uM Torin 1,L-1374*1 uM Torin 1,0,-0.000666667,0.008,0.005333333,0.004,0.005,0.004666667,0.009,0.009666667,0.004666667,0.006333333,0.001333333,0.003,0.005,0.004333333,0.007333333,0.005666667,0.002333333,0.000666667,0.002666667,0.006666667,0.004333333,0.003666667,0.002666667,0.006666667,0.001333333,0.000666667,0.009666667,-0.000333333,0.007666667,0.004666667,0.005666667,0.002666667,0.003,0.006333333,0.005666667,0.007666667,-9.25e-18,0.002,0.008666667,-4.63e-18
_lowTORIN_KGPUMBL_052817.xls,NCYC 3319-1 uM Torin 1,69.79410118,1.026060191,75.84465278,4.855519703,NCYC 3319,L-1528,1 uM Torin 1,L-1528*1 uM Torin 1,0,0.099,0.125666667,0.154333333,0.191,0.256666667,0.337333333,0.449333333,0.571333333,0.710333333,0.859666667,0.983,1.131333333,1.201,1.225,1.242333333,1.271666667,1.286666667,1.309666667,1.337,1.367666667,1.403666667,1.436,1.459666667,1.488666667,1.503,1.517333333,1.544666667,1.548,1.578666667,1.599333333,1.61,1.632,1.645666667,1.664333333,1.678,1.688,1.691333333,1.704,1.721,1.718333333
_lowTORIN_KGPUMBL_052817.xls,NCYC 3445-1 uM Torin 1,70.0824388,12.93999514,73.79391257,3.530880341,NCYC 3445,Y12,1 uM Torin 1,Y12*1 uM Torin 1,0,0.064666667,0.072,0.059333333,0.062666667,0.286,0.376,0.458666667,0.610333333,0.738333333,0.869666667,1.003,1.154666667,1.256333333,1.299666667,1.317666667,1.362666667,1.377666667,1.403333333,1.437666667,1.483666667,1.542333333,1.551666667,1.565666667,1.601,1.605,1.602666667,1.602333333,1.602,1.700333333,1.708666667,1.624,1.687666667,1.651666667,1.688,1.531,1.379,1.418666667,1.438666667,1.771333333,1.634666667
_lowTORIN_KGPUMBL_052817.xls,NCYC 3447-1 uM Torin 1,72.03627498,0.693935677,74.36133448,0.270596176,NCYC 3447,DBVPG 1106,1 uM Torin 1,DBVPG 1106*1 uM Torin 1,0,0.086333333,0.117,0.14,0.177333333,0.234666667,0.310666667,0.411333333,0.534,0.66,0.8,0.937333333,1.090333333,1.194,1.221,1.240666667,1.270333333,1.284333333,1.309666667,1.341333333,1.376,1.407,1.436,1.463666667,1.491666667,1.515,1.526666667,1.555666667,1.56,1.592,1.609666667,1.622666667,1.645666667,1.661,1.676666667,1.684333333,1.699666667,1.703666667,1.711666667,1.737333333,1.734333333
_lowTORIN_KGPUMBL_052817.xls,NCYC 3448-1 uM Torin 1,,,,,NCYC 3448,UWOPS83-787.3,1 uM Torin 1,UWOPS83-787.3*1 uM Torin 1,0,0.009333333,0.016333333,0.015,0.013666667,0.016333333,0.015,0.019,0.02,0.014666667,0.018666667,0.013333333,0.014333333,0.016666667,0.014666667,0.017,0.018,0.012666667,0.01,0.015,0.017,0.014333333,0.016,0.012666667,0.021,0.013666667,0.009666667,0.021,0.010666667,0.015,0.013666667,0.015,0.014333333,0.015,0.015333333,0.013666667,0.017333333,0.008666667,0.010666667,0.019,0.010666667
